keyword,datatype,description,units,source
ERVC61,REAL,Error in RV for CAL order 61,km/s,L2 RV Extension
ERVC62,REAL,Error in RV for CAL order 62,km/s,L2 RV Extension
ERVC63,REAL,Error in RV for CAL order 63,km/s,L2 RV Extension
ERVC64,REAL,Error in RV for CAL order 64,km/s,L2 RV Extension
ERVC65,REAL,Error in RV for CAL order 65,km/s,L2 RV Extension
ERVC66,REAL,Error in RV for CAL order 66,km/s,L2 RV Extension
RVY00,REAL,RV for SKY order 00,km/s,L2 RV Extension
RVY01,REAL,RV for SKY order 01,km/s,L2 RV Extension
RVY02,REAL,RV for SKY order 02,km/s,L2 RV Extension
RVY03,REAL,RV for SKY order 03,km/s,L2 RV Extension
RVY04,REAL,RV for SKY order 04,km/s,L2 RV Extension
RVY05,REAL,RV for SKY order 05,km/s,L2 RV Extension
RVY06,REAL,RV for SKY order 06,km/s,L2 RV Extension
RVY07,REAL,RV for SKY order 07,km/s,L2 RV Extension
RVY08,REAL,RV for SKY order 08,km/s,L2 RV Extension
RVY09,REAL,RV for SKY order 09,km/s,L2 RV Extension
RVY10,REAL,RV for SKY order 10,km/s,L2 RV Extension
RVY11,REAL,RV for SKY order 11,km/s,L2 RV Extension
RVY12,REAL,RV for SKY order 12,km/s,L2 RV Extension
RVY13,REAL,RV for SKY order 13,km/s,L2 RV Extension
RVY14,REAL,RV for SKY order 14,km/s,L2 RV Extension
RVY15,REAL,RV for SKY order 15,km/s,L2 RV Extension
RVY16,REAL,RV for SKY order 16,km/s,L2 RV Extension
RVY17,REAL,RV for SKY order 17,km/s,L2 RV Extension
RVY18,REAL,RV for SKY order 18,km/s,L2 RV Extension
RVY19,REAL,RV for SKY order 19,km/s,L2 RV Extension
RVY20,REAL,RV for SKY order 20,km/s,L2 RV Extension
RVY21,REAL,RV for SKY order 21,km/s,L2 RV Extension
RVY22,REAL,RV for SKY order 22,km/s,L2 RV Extension
RVY23,REAL,RV for SKY order 23,km/s,L2 RV Extension
RVY24,REAL,RV for SKY order 24,km/s,L2 RV Extension
RVY25,REAL,RV for SKY order 25,km/s,L2 RV Extension
RVY26,REAL,RV for SKY order 26,km/s,L2 RV Extension
RVY27,REAL,RV for SKY order 27,km/s,L2 RV Extension
RVY28,REAL,RV for SKY order 28,km/s,L2 RV Extension
RVY29,REAL,RV for SKY order 29,km/s,L2 RV Extension
RVY30,REAL,RV for SKY order 30,km/s,L2 RV Extension
RVY31,REAL,RV for SKY order 31,km/s,L2 RV Extension
RVY32,REAL,RV for SKY order 32,km/s,L2 RV Extension
RVY33,REAL,RV for SKY order 33,km/s,L2 RV Extension
RVY34,REAL,RV for SKY order 34,km/s,L2 RV Extension
RVY35,REAL,RV for SKY order 35,km/s,L2 RV Extension
RVY36,REAL,RV for SKY order 36,km/s,L2 RV Extension
RVY37,REAL,RV for SKY order 37,km/s,L2 RV Extension
RVY38,REAL,RV for SKY order 38,km/s,L2 RV Extension
RVY39,REAL,RV for SKY order 39,km/s,L2 RV Extension
RVY40,REAL,RV for SKY order 40,km/s,L2 RV Extension
RVY41,REAL,RV for SKY order 41,km/s,L2 RV Extension
RVY42,REAL,RV for SKY order 42,km/s,L2 RV Extension
RVY43,REAL,RV for SKY order 43,km/s,L2 RV Extension
RVY44,REAL,RV for SKY order 44,km/s,L2 RV Extension
RVY45,REAL,RV for SKY order 45,km/s,L2 RV Extension
RVY46,REAL,RV for SKY order 46,km/s,L2 RV Extension
RVY47,REAL,RV for SKY order 47,km/s,L2 RV Extension
RVY48,REAL,RV for SKY order 48,km/s,L2 RV Extension
RVY49,REAL,RV for SKY order 49,km/s,L2 RV Extension
RVY50,REAL,RV for SKY order 50,km/s,L2 RV Extension
RVY51,REAL,RV for SKY order 51,km/s,L2 RV Extension
RVY52,REAL,RV for SKY order 52,km/s,L2 RV Extension
RVY53,REAL,RV for SKY order 53,km/s,L2 RV Extension
RVY54,REAL,RV for SKY order 54,km/s,L2 RV Extension
RVY55,REAL,RV for SKY order 55,km/s,L2 RV Extension
RVY56,REAL,RV for SKY order 56,km/s,L2 RV Extension
RVY57,REAL,RV for SKY order 57,km/s,L2 RV Extension
RVY58,REAL,RV for SKY order 58,km/s,L2 RV Extension
RVY59,REAL,RV for SKY order 59,km/s,L2 RV Extension
RVY60,REAL,RV for SKY order 60,km/s,L2 RV Extension
RVY61,REAL,RV for SKY order 61,km/s,L2 RV Extension
RVY62,REAL,RV for SKY order 62,km/s,L2 RV Extension
RVY63,REAL,RV for SKY order 63,km/s,L2 RV Extension
RVY64,REAL,RV for SKY order 64,km/s,L2 RV Extension
RVY65,REAL,RV for SKY order 65,km/s,L2 RV Extension
RVY66,REAL,RV for SKY order 66,km/s,L2 RV Extension
ERVY00,REAL,Error in RV for SKY order 00,km/s,L2 RV Extension
ERVY01,REAL,Error in RV for SKY order 01,km/s,L2 RV Extension
ERVY02,REAL,Error in RV for SKY order 02,km/s,L2 RV Extension
ERVY03,REAL,Error in RV for SKY order 03,km/s,L2 RV Extension
ERVY04,REAL,Error in RV for SKY order 04,km/s,L2 RV Extension
ERVY05,REAL,Error in RV for SKY order 05,km/s,L2 RV Extension
ERVY06,REAL,Error in RV for SKY order 06,km/s,L2 RV Extension
ERVY07,REAL,Error in RV for SKY order 07,km/s,L2 RV Extension
ERVY08,REAL,Error in RV for SKY order 08,km/s,L2 RV Extension
ERVY09,REAL,Error in RV for SKY order 09,km/s,L2 RV Extension
ERVY10,REAL,Error in RV for SKY order 10,km/s,L2 RV Extension
ERVY11,REAL,Error in RV for SKY order 11,km/s,L2 RV Extension
ERVY12,REAL,Error in RV for SKY order 12,km/s,L2 RV Extension
ERVY13,REAL,Error in RV for SKY order 13,km/s,L2 RV Extension
ERVY14,REAL,Error in RV for SKY order 14,km/s,L2 RV Extension
ERVY15,REAL,Error in RV for SKY order 15,km/s,L2 RV Extension
ERVY16,REAL,Error in RV for SKY order 16,km/s,L2 RV Extension
ERVY17,REAL,Error in RV for SKY order 17,km/s,L2 RV Extension
ERVY18,REAL,Error in RV for SKY order 18,km/s,L2 RV Extension
ERVY19,REAL,Error in RV for SKY order 19,km/s,L2 RV Extension
ERVY20,REAL,Error in RV for SKY order 20,km/s,L2 RV Extension
ERVY21,REAL,Error in RV for SKY order 21,km/s,L2 RV Extension
ERVY22,REAL,Error in RV for SKY order 22,km/s,L2 RV Extension
ERVY23,REAL,Error in RV for SKY order 23,km/s,L2 RV Extension
ERVY24,REAL,Error in RV for SKY order 24,km/s,L2 RV Extension
ERVY25,REAL,Error in RV for SKY order 25,km/s,L2 RV Extension
ERVY26,REAL,Error in RV for SKY order 26,km/s,L2 RV Extension
ERVY27,REAL,Error in RV for SKY order 27,km/s,L2 RV Extension
ERVY28,REAL,Error in RV for SKY order 28,km/s,L2 RV Extension
ERVY29,REAL,Error in RV for SKY order 29,km/s,L2 RV Extension
ERVY30,REAL,Error in RV for SKY order 30,km/s,L2 RV Extension
ERVY31,REAL,Error in RV for SKY order 31,km/s,L2 RV Extension
ERVY32,REAL,Error in RV for SKY order 32,km/s,L2 RV Extension
ERVY33,REAL,Error in RV for SKY order 33,km/s,L2 RV Extension
ERVY34,REAL,Error in RV for SKY order 34,km/s,L2 RV Extension
ERVY35,REAL,Error in RV for SKY order 35,km/s,L2 RV Extension
ERVY36,REAL,Error in RV for SKY order 36,km/s,L2 RV Extension
ERVY37,REAL,Error in RV for SKY order 37,km/s,L2 RV Extension
ERVY38,REAL,Error in RV for SKY order 38,km/s,L2 RV Extension
ERVY39,REAL,Error in RV for SKY order 39,km/s,L2 RV Extension
ERVY40,REAL,Error in RV for SKY order 40,km/s,L2 RV Extension
ERVY41,REAL,Error in RV for SKY order 41,km/s,L2 RV Extension
ERVY42,REAL,Error in RV for SKY order 42,km/s,L2 RV Extension
ERVY43,REAL,Error in RV for SKY order 43,km/s,L2 RV Extension
ERVY44,REAL,Error in RV for SKY order 44,km/s,L2 RV Extension
ERVY45,REAL,Error in RV for SKY order 45,km/s,L2 RV Extension
ERVY46,REAL,Error in RV for SKY order 46,km/s,L2 RV Extension
ERVY47,REAL,Error in RV for SKY order 47,km/s,L2 RV Extension
ERVY48,REAL,Error in RV for SKY order 48,km/s,L2 RV Extension
ERVY49,REAL,Error in RV for SKY order 49,km/s,L2 RV Extension
ERVY50,REAL,Error in RV for SKY order 50,km/s,L2 RV Extension
ERVY51,REAL,Error in RV for SKY order 51,km/s,L2 RV Extension
ERVY52,REAL,Error in RV for SKY order 52,km/s,L2 RV Extension
ERVY53,REAL,Error in RV for SKY order 53,km/s,L2 RV Extension
ERVY54,REAL,Error in RV for SKY order 54,km/s,L2 RV Extension
ERVY55,REAL,Error in RV for SKY order 55,km/s,L2 RV Extension
ERVY56,REAL,Error in RV for SKY order 56,km/s,L2 RV Extension
ERVY57,REAL,Error in RV for SKY order 57,km/s,L2 RV Extension
ERVY58,REAL,Error in RV for SKY order 58,km/s,L2 RV Extension
ERVY59,REAL,Error in RV for SKY order 59,km/s,L2 RV Extension
ERVY60,REAL,Error in RV for SKY order 60,km/s,L2 RV Extension
ERVY61,REAL,Error in RV for SKY order 61,km/s,L2 RV Extension
ERVY62,REAL,Error in RV for SKY order 62,km/s,L2 RV Extension
ERVY63,REAL,Error in RV for SKY order 63,km/s,L2 RV Extension
ERVY64,REAL,Error in RV for SKY order 64,km/s,L2 RV Extension
ERVY65,REAL,Error in RV for SKY order 65,km/s,L2 RV Extension
ERVY66,REAL,Error in RV for SKY order 66,km/s,L2 RV Extension
CCFBJD00,REAL,BJD for order 00,days,L2 RV Extension
CCFBJD01,REAL,BJD for order 01,days,L2 RV Extension
CCFBJD02,REAL,BJD for order 02,days,L2 RV Extension
CCFBJD03,REAL,BJD for order 03,days,L2 RV Extension
CCFBJD04,REAL,BJD for order 04,days,L2 RV Extension
CCFBJD05,REAL,BJD for order 05,days,L2 RV Extension
CCFBJD06,REAL,BJD for order 06,days,L2 RV Extension
CCFBJD07,REAL,BJD for order 07,days,L2 RV Extension
CCFBJD08,REAL,BJD for order 08,days,L2 RV Extension
CCFBJD09,REAL,BJD for order 09,days,L2 RV Extension
CCFBJD10,REAL,BJD for order 10,days,L2 RV Extension
CCFBJD11,REAL,BJD for order 11,days,L2 RV Extension
CCFBJD12,REAL,BJD for order 12,days,L2 RV Extension
CCFBJD13,REAL,BJD for order 13,days,L2 RV Extension
CCFBJD14,REAL,BJD for order 14,days,L2 RV Extension
CCFBJD15,REAL,BJD for order 15,days,L2 RV Extension
CCFBJD16,REAL,BJD for order 16,days,L2 RV Extension
CCFBJD17,REAL,BJD for order 17,days,L2 RV Extension
CCFBJD18,REAL,BJD for order 18,days,L2 RV Extension
CCFBJD19,REAL,BJD for order 19,days,L2 RV Extension
CCFBJD20,REAL,BJD for order 20,days,L2 RV Extension
CCFBJD21,REAL,BJD for order 21,days,L2 RV Extension
CCFBJD22,REAL,BJD for order 22,days,L2 RV Extension
CCFBJD23,REAL,BJD for order 23,days,L2 RV Extension
CCFBJD24,REAL,BJD for order 24,days,L2 RV Extension
CCFBJD25,REAL,BJD for order 25,days,L2 RV Extension
CCFBJD26,REAL,BJD for order 26,days,L2 RV Extension
CCFBJD27,REAL,BJD for order 27,days,L2 RV Extension
CCFBJD28,REAL,BJD for order 28,days,L2 RV Extension
CCFBJD29,REAL,BJD for order 29,days,L2 RV Extension
CCFBJD30,REAL,BJD for order 30,days,L2 RV Extension
CCFBJD31,REAL,BJD for order 31,days,L2 RV Extension
CCFBJD32,REAL,BJD for order 32,days,L2 RV Extension
CCFBJD33,REAL,BJD for order 33,days,L2 RV Extension
CCFBJD34,REAL,BJD for order 34,days,L2 RV Extension
CCFBJD35,REAL,BJD for order 35,days,L2 RV Extension
CCFBJD36,REAL,BJD for order 36,days,L2 RV Extension
CCFBJD37,REAL,BJD for order 37,days,L2 RV Extension
CCFBJD38,REAL,BJD for order 38,days,L2 RV Extension
CCFBJD39,REAL,BJD for order 39,days,L2 RV Extension
CCFBJD40,REAL,BJD for order 40,days,L2 RV Extension
CCFBJD41,REAL,BJD for order 41,days,L2 RV Extension
CCFBJD42,REAL,BJD for order 42,days,L2 RV Extension
CCFBJD43,REAL,BJD for order 43,days,L2 RV Extension
CCFBJD44,REAL,BJD for order 44,days,L2 RV Extension
CCFBJD45,REAL,BJD for order 45,days,L2 RV Extension
CCFBJD46,REAL,BJD for order 46,days,L2 RV Extension
CCFBJD47,REAL,BJD for order 47,days,L2 RV Extension
CCFBJD48,REAL,BJD for order 48,days,L2 RV Extension
CCFBJD49,REAL,BJD for order 49,days,L2 RV Extension
CCFBJD50,REAL,BJD for order 50,days,L2 RV Extension
CCFBJD51,REAL,BJD for order 51,days,L2 RV Extension
CCFBJD52,REAL,BJD for order 52,days,L2 RV Extension
CCFBJD53,REAL,BJD for order 53,days,L2 RV Extension
CCFBJD54,REAL,BJD for order 54,days,L2 RV Extension
CCFBJD55,REAL,BJD for order 55,days,L2 RV Extension
CCFBJD56,REAL,BJD for order 56,days,L2 RV Extension
CCFBJD57,REAL,BJD for order 57,days,L2 RV Extension
CCFBJD58,REAL,BJD for order 58,days,L2 RV Extension
CCFBJD59,REAL,BJD for order 59,days,L2 RV Extension
CCFBJD60,REAL,BJD for order 60,days,L2 RV Extension
CCFBJD61,REAL,BJD for order 61,days,L2 RV Extension
CCFBJD62,REAL,BJD for order 62,days,L2 RV Extension
CCFBJD63,REAL,BJD for order 63,days,L2 RV Extension
CCFBJD64,REAL,BJD for order 64,days,L2 RV Extension
CCFBJD65,REAL,BJD for order 65,days,L2 RV Extension
CCFBJD66,REAL,BJD for order 66,days,L2 RV Extension
BCRV00,REAL,Barycentric RV for order 00,km/s,L2 RV Extension
BCRV01,REAL,Barycentric RV for order 01,km/s,L2 RV Extension
BCRV02,REAL,Barycentric RV for order 02,km/s,L2 RV Extension
BCRV03,REAL,Barycentric RV for order 03,km/s,L2 RV Extension
BCRV04,REAL,Barycentric RV for order 04,km/s,L2 RV Extension
BCRV05,REAL,Barycentric RV for order 05,km/s,L2 RV Extension
BCRV06,REAL,Barycentric RV for order 06,km/s,L2 RV Extension
BCRV07,REAL,Barycentric RV for order 07,km/s,L2 RV Extension
BCRV08,REAL,Barycentric RV for order 08,km/s,L2 RV Extension
BCRV09,REAL,Barycentric RV for order 09,km/s,L2 RV Extension
BCRV10,REAL,Barycentric RV for order 10,km/s,L2 RV Extension
BCRV11,REAL,Barycentric RV for order 11,km/s,L2 RV Extension
BCRV12,REAL,Barycentric RV for order 12,km/s,L2 RV Extension
BCRV13,REAL,Barycentric RV for order 13,km/s,L2 RV Extension
BCRV14,REAL,Barycentric RV for order 14,km/s,L2 RV Extension
BCRV15,REAL,Barycentric RV for order 15,km/s,L2 RV Extension
BCRV16,REAL,Barycentric RV for order 16,km/s,L2 RV Extension
BCRV17,REAL,Barycentric RV for order 17,km/s,L2 RV Extension
BCRV18,REAL,Barycentric RV for order 18,km/s,L2 RV Extension
BCRV19,REAL,Barycentric RV for order 19,km/s,L2 RV Extension
BCRV20,REAL,Barycentric RV for order 20,km/s,L2 RV Extension
BCRV21,REAL,Barycentric RV for order 21,km/s,L2 RV Extension
BCRV22,REAL,Barycentric RV for order 22,km/s,L2 RV Extension
BCRV23,REAL,Barycentric RV for order 23,km/s,L2 RV Extension
BCRV24,REAL,Barycentric RV for order 24,km/s,L2 RV Extension
BCRV25,REAL,Barycentric RV for order 25,km/s,L2 RV Extension
BCRV26,REAL,Barycentric RV for order 26,km/s,L2 RV Extension
BCRV27,REAL,Barycentric RV for order 27,km/s,L2 RV Extension
BCRV28,REAL,Barycentric RV for order 28,km/s,L2 RV Extension
BCRV29,REAL,Barycentric RV for order 29,km/s,L2 RV Extension
BCRV30,REAL,Barycentric RV for order 30,km/s,L2 RV Extension
BCRV31,REAL,Barycentric RV for order 31,km/s,L2 RV Extension
BCRV32,REAL,Barycentric RV for order 32,km/s,L2 RV Extension
BCRV33,REAL,Barycentric RV for order 33,km/s,L2 RV Extension
BCRV34,REAL,Barycentric RV for order 34,km/s,L2 RV Extension
BCRV35,REAL,Barycentric RV for order 35,km/s,L2 RV Extension
BCRV36,REAL,Barycentric RV for order 36,km/s,L2 RV Extension
BCRV37,REAL,Barycentric RV for order 37,km/s,L2 RV Extension
BCRV38,REAL,Barycentric RV for order 38,km/s,L2 RV Extension
BCRV39,REAL,Barycentric RV for order 39,km/s,L2 RV Extension
BCRV40,REAL,Barycentric RV for order 40,km/s,L2 RV Extension
BCRV41,REAL,Barycentric RV for order 41,km/s,L2 RV Extension
BCRV42,REAL,Barycentric RV for order 42,km/s,L2 RV Extension
BCRV43,REAL,Barycentric RV for order 43,km/s,L2 RV Extension
BCRV44,REAL,Barycentric RV for order 44,km/s,L2 RV Extension
BCRV45,REAL,Barycentric RV for order 45,km/s,L2 RV Extension
BCRV46,REAL,Barycentric RV for order 46,km/s,L2 RV Extension
BCRV47,REAL,Barycentric RV for order 47,km/s,L2 RV Extension
BCRV48,REAL,Barycentric RV for order 48,km/s,L2 RV Extension
BCRV49,REAL,Barycentric RV for order 49,km/s,L2 RV Extension
BCRV50,REAL,Barycentric RV for order 50,km/s,L2 RV Extension
BCRV51,REAL,Barycentric RV for order 51,km/s,L2 RV Extension
BCRV52,REAL,Barycentric RV for order 52,km/s,L2 RV Extension
BCRV53,REAL,Barycentric RV for order 53,km/s,L2 RV Extension
BCRV54,REAL,Barycentric RV for order 54,km/s,L2 RV Extension
BCRV55,REAL,Barycentric RV for order 55,km/s,L2 RV Extension
BCRV56,REAL,Barycentric RV for order 56,km/s,L2 RV Extension
BCRV57,REAL,Barycentric RV for order 57,km/s,L2 RV Extension
BCRV58,REAL,Barycentric RV for order 58,km/s,L2 RV Extension
BCRV59,REAL,Barycentric RV for order 59,km/s,L2 RV Extension
BCRV60,REAL,Barycentric RV for order 60,km/s,L2 RV Extension
BCRV61,REAL,Barycentric RV for order 61,km/s,L2 RV Extension
BCRV62,REAL,Barycentric RV for order 62,km/s,L2 RV Extension
BCRV63,REAL,Barycentric RV for order 63,km/s,L2 RV Extension
BCRV64,REAL,Barycentric RV for order 64,km/s,L2 RV Extension
BCRV65,REAL,Barycentric RV for order 65,km/s,L2 RV Extension
BCRV66,REAL,Barycentric RV for order 66,km/s,L2 RV Extension
CCFW00,REAL,CCF weight for order 00,None,L2 RV Extension
CCFW01,REAL,CCF weight for order 01,None,L2 RV Extension
CCFW02,REAL,CCF weight for order 02,None,L2 RV Extension
CCFW03,REAL,CCF weight for order 03,None,L2 RV Extension
CCFW04,REAL,CCF weight for order 04,None,L2 RV Extension
CCFW05,REAL,CCF weight for order 05,None,L2 RV Extension
CCFW06,REAL,CCF weight for order 06,None,L2 RV Extension
CCFW07,REAL,CCF weight for order 07,None,L2 RV Extension
CCFW08,REAL,CCF weight for order 08,None,L2 RV Extension
CCFW09,REAL,CCF weight for order 09,None,L2 RV Extension
CCFW10,REAL,CCF weight for order 10,None,L2 RV Extension
CCFW11,REAL,CCF weight for order 11,None,L2 RV Extension
CCFW12,REAL,CCF weight for order 12,None,L2 RV Extension
CCFW13,REAL,CCF weight for order 13,None,L2 RV Extension
CCFW14,REAL,CCF weight for order 14,None,L2 RV Extension
CCFW15,REAL,CCF weight for order 15,None,L2 RV Extension
CCFW16,REAL,CCF weight for order 16,None,L2 RV Extension
CCFW17,REAL,CCF weight for order 17,None,L2 RV Extension
CCFW18,REAL,CCF weight for order 18,None,L2 RV Extension
CCFW19,REAL,CCF weight for order 19,None,L2 RV Extension
CCFW20,REAL,CCF weight for order 20,None,L2 RV Extension
CCFW21,REAL,CCF weight for order 21,None,L2 RV Extension
CCFW22,REAL,CCF weight for order 22,None,L2 RV Extension
CCFW23,REAL,CCF weight for order 23,None,L2 RV Extension
CCFW24,REAL,CCF weight for order 24,None,L2 RV Extension
CCFW25,REAL,CCF weight for order 25,None,L2 RV Extension
CCFW26,REAL,CCF weight for order 26,None,L2 RV Extension
CCFW27,REAL,CCF weight for order 27,None,L2 RV Extension
CCFW28,REAL,CCF weight for order 28,None,L2 RV Extension
CCFW29,REAL,CCF weight for order 29,None,L2 RV Extension
CCFW30,REAL,CCF weight for order 30,None,L2 RV Extension
CCFW31,REAL,CCF weight for order 31,None,L2 RV Extension
CCFW32,REAL,CCF weight for order 32,None,L2 RV Extension
CCFW33,REAL,CCF weight for order 33,None,L2 RV Extension
CCFW34,REAL,CCF weight for order 34,None,L2 RV Extension
CCFW35,REAL,CCF weight for order 35,None,L2 RV Extension
CCFW36,REAL,CCF weight for order 36,None,L2 RV Extension
CCFW37,REAL,CCF weight for order 37,None,L2 RV Extension
CCFW38,REAL,CCF weight for order 38,None,L2 RV Extension
CCFW39,REAL,CCF weight for order 39,None,L2 RV Extension
CCFW40,REAL,CCF weight for order 40,None,L2 RV Extension
CCFW41,REAL,CCF weight for order 41,None,L2 RV Extension
CCFW42,REAL,CCF weight for order 42,None,L2 RV Extension
CCFW43,REAL,CCF weight for order 43,None,L2 RV Extension
CCFW44,REAL,CCF weight for order 44,None,L2 RV Extension
CCFW45,REAL,CCF weight for order 45,None,L2 RV Extension
CCFW46,REAL,CCF weight for order 46,None,L2 RV Extension
CCFW47,REAL,CCF weight for order 47,None,L2 RV Extension
CCFW48,REAL,CCF weight for order 48,None,L2 RV Extension
CCFW49,REAL,CCF weight for order 49,None,L2 RV Extension
CCFW50,REAL,CCF weight for order 50,None,L2 RV Extension
CCFW51,REAL,CCF weight for order 51,None,L2 RV Extension
CCFW52,REAL,CCF weight for order 52,None,L2 RV Extension
CCFW53,REAL,CCF weight for order 53,None,L2 RV Extension
CCFW54,REAL,CCF weight for order 54,None,L2 RV Extension
CCFW55,REAL,CCF weight for order 55,None,L2 RV Extension
CCFW56,REAL,CCF weight for order 56,None,L2 RV Extension
CCFW57,REAL,CCF weight for order 57,None,L2 RV Extension
CCFW58,REAL,CCF weight for order 58,None,L2 RV Extension
CCFW59,REAL,CCF weight for order 59,None,L2 RV Extension
CCFW60,REAL,CCF weight for order 60,None,L2 RV Extension
CCFW61,REAL,CCF weight for order 61,None,L2 RV Extension
CCFW62,REAL,CCF weight for order 62,None,L2 RV Extension
CCFW63,REAL,CCF weight for order 63,None,L2 RV Extension
CCFW64,REAL,CCF weight for order 64,None,L2 RV Extension
CCFW65,REAL,CCF weight for order 65,None,L2 RV Extension
CCFW66,REAL,CCF weight for order 66,None,L2 RV Extension
